Pole,Fries Pole,Plot,Latitude,Longitude,Elevation,Coordinate System,Plot Start,Plot End,Plot Average,Plot Median
1,I,1,68.36014464,18.77209151,418.243,WGS 1984 DD,418,436,426,425
2,Ia,1,68.36020427,18.77096592,420.552,WGS 1984 DD,,,,
3,Ib,1,68.36029268,18.76994275,424.849,WGS 1984 DD,,,,
4,Ic,1,68.36044412,18.76901522,432.365,WGS 1984 DD,,,,
5,II,2,68.36054145,18.76786506,436.263,WGS 1984 DD,436,457,445,443
6,IIa,2,68.36063189,18.76686576,440.52,WGS 1984 DD,,,,
7,IIb,2,68.36081255,18.76570043,443.38,WGS 1984 DD,,,,
8,IIc,2,68.36086735,18.76468702,447.901,WGS 1984 DD,,,,
9,III,3,68.36091988,18.76370788,456.56,WGS 1984 DD,457,475,467,467
10,IIIa,3,68.36103091,18.76261055,463.129,WGS 1984 DD,,,,
11,IIIb,3,68.36114838,18.76157176,467.271,WGS 1984 DD,,,,
12,IIIc,3,68.36126165,18.76047231,473.311,WGS 1984 DD,,,,
13,IV,4,68.36135613,18.75952335,474.895,WGS 1984 DD,475,513,491,488
14,IVa,4,68.36146568,18.7585069,480.404,WGS 1984 DD,,,,
15,IVb,4,68.36155532,18.75740269,487.501,WGS 1984 DD,,,,
16,IVc,4,68.36166003,18.75638175,499.611,WGS 1984 DD,,,,
17,V,5,68.36166622,18.75535343,512.686,WGS 1984 DD,513,539,523,521
18,Va,5,68.36168244,18.75431566,514.241,WGS 1984 DD,,,,
19,Vb,5,68.36186533,18.75326537,520.763,WGS 1984 DD,,,,
20,Vc,5,68.3618723,18.75209603,529.387,WGS 1984 DD,,,,
21,VI,6,68.36206301,18.75115762,538.552,WGS 1984 DD,539,578,555,553
22,VIa,6,68.36226262,18.75030046,540.753,WGS 1984 DD,,,,
23,VIb,6,68.36243229,18.74935315,552.528,WGS 1984 DD,,,,
24,VIc,6,68.36252186,18.7482498,565.662,WGS 1984 DD,,,,
25,VII,7,68.36262227,18.74724144,577.978,WGS 1984 DD,578,641,605,601
26,VIIa,7,68.36277015,18.74621666,587.183,WGS 1984 DD,,,,
27,VIIb,7,68.36291321,18.74520649,600.572,WGS 1984 DD,,,,
28,VIIc,7,68.36292825,18.74427815,618.496,WGS 1984 DD,,,,
29,VIII,8,68.36309442,18.74288943,641.037,WGS 1984 DD,641,699,669,669
30,VIIIa,8,68.36312082,18.74180898,655.223,WGS 1984 DD,,,,
31,VIIIb,8,68.36314921,18.74074128,669.248,WGS 1984 DD,,,,
32,VIIIc,8,68.36318778,18.73975685,681.425,WGS 1984 DD,,,,
33,IX,9,68.36330361,18.73867975,699.455,WGS 1984 DD,699,776,739,740
34,IXa,9,68.36341232,18.73770745,720.174,WGS 1984 DD,,,,
35,IXb,9,68.363507,18.73668252,740.454,WGS 1984 DD,,,,
36,IXc,9,68.36365131,18.73563655,757.169,WGS 1984 DD,,,,
37,X,10,68.36375017,18.73460702,775.894,WGS 1984 DD,776,834,805,806
38,Xa,10,68.36385875,18.73360332,792.553,WGS 1984 DD,,,,
39,Xb,10,68.36396543,18.73261375,805.571,WGS 1984 DD,,,,
40,Xc,10,68.3641027,18.73166531,818.614,WGS 1984 DD,,,,
41,XI,11,68.36419409,18.73065139,834.263,WGS 1984 DD,834,897,866,864
42,XIa,11,68.36428056,18.72961906,846.454,WGS 1984 DD,,,,
43,XIb,11,68.36448404,18.72858142,864.089,WGS 1984 DD,,,,
44,XIc,11,68.36464367,18.7276447,889.078,WGS 1984 DD,,,,
45,XII,12,68.36480572,18.7267826,897.309,WGS 1984 DD,897,933,916,918
46,XIIa,12,68.36498811,18.72580493,904.803,WGS 1984 DD,,,,
47,XIIb,12,68.36517017,18.72489023,917.634,WGS 1984 DD,,,,
48,XIIc,12,68.3653646,18.72400997,925.033,WGS 1984 DD,,,,
49,XIII,13,68.36556652,18.72313747,933.335,WGS 1984 DD,933,958,944,944
50,XIIIa,13,68.36578091,18.72223541,938.968,WGS 1984 DD,,,,
51,XIIIb,13,68.3659986,18.72136453,944.173,WGS 1984 DD,,,,
52,XIIIc,13,68.3661581,18.720749,946.898,WGS 1984 DD,,,,
53,XIV,14,68.36635066,18.72003801,957.852,WGS 1984 DD,958,1010,987,989
54,XIVa,14,68.36667446,18.71890382,977.117,WGS 1984 DD,,,,
55,XIVb,14,68.36693571,18.71807034,989.14,WGS 1984 DD,,,,
56,XIVc,14,68.36718803,18.71725074,1001.893,WGS 1984 DD,,,,
57,XV,15,68.36742547,18.71635001,1010.07,WGS 1984 DD,1010,1077,1046,1050
58,XVa,15,68.36766903,18.71559655,1031.554,WGS 1984 DD,,,,
59,XVb,15,68.36790205,18.71466633,1049.517,WGS 1984 DD,,,,
60,XVc,15,68.36814232,18.71388145,1063.003,WGS 1984 DD,,,,
61,XVI,16,68.36837208,18.71300692,1077.198,WGS 1984 DD,1077,1086,1084,1086
62,XVIa,16,68.36861321,18.7121762,1083.946,WGS 1984 DD,,,,
63,XVIb,16,68.36884844,18.71133955,1087.186,WGS 1984 DD,,,,
64,XVIc,16,68.36908981,18.71050673,1085.679,WGS 1984 DD,,,,
65,XVII,17,68.36933548,18.70968099,1086.095,WGS 1984 DD,1086,1106,1094,1091
66,XVIIa,17,68.3695708,18.70885158,1088.208,WGS 1984 DD,,,,
67,XVIIb,17,68.36982537,18.70803349,1091.298,WGS 1984 DD,,,,
68,XVIIc,17,68.37004224,18.70725495,1096.328,WGS 1984 DD,,,,
69,XVIII,18,68.37028167,18.70635811,1105.951,WGS 1984 DD,1106,1157,1136,1142
70,XVIIIa,18,68.37052738,18.70553707,1124.042,WGS 1984 DD,,,,
71,XVIIIb,18,68.37076023,18.70475543,1141.719,WGS 1984 DD,,,,
72,XVIIIc,18,68.37100786,18.70386965,1151.63,WGS 1984 DD,,,,
73,XIX,19,68.37125669,18.70314894,1157.229,WGS 1984 DD,1157,1184,1168,1164
74,XIXa,19,68.37148606,18.70225657,1161.39,WGS 1984 DD,,,,
75,XIXb,19,68.37170864,18.70142321,1163.552,WGS 1984 DD,,,,
76,XIXc,19,68.37196964,18.7006223,1174.606,WGS 1984 DD,,,,
77,XX,20,68.37218708,18.69974386,1184.066,WGS 1984 DD,1184,1195,1191,1193
78,XXa,20,68.37240672,18.6989289,1192.843,WGS 1984 DD,,,,
79,XXb,20,68.37261268,18.69782744,1195.128,WGS 1984 DD,,,,